code,description,priority,severity_source
01,Accident – Construction/Plumbing,A,original
02,Accident – To Public,A,new
03,Adjacent Buildings – Not Protected,A,original
04,After Hours Work – Illegal,B,original
05,Permit – None (Building/PA/Demo etc.),B,original
06,Construction – Change Grade/Change Watercourse,B,original
07,Construction – Change Watercourse,B,new
08,Contractor's Sign – None,D,new
09,Debris – Excessive,B,original
10,Debris/Building – Falling or In Danger of Falling,A,original
11,Demolition – No Permit,B,new
12,Demolition – Unsafe/Illegal/Mechanical Demo,A,original
13,Elevator In (FDNY) Readiness – None,A,original
14,Excavation – Undermining Adjacent Building,A,original
15,Fence – None/Inadequate/Illegal,B,original
16,Inadequate Support/Shoring,A,original
17,Material/Personnel Hoist – No Permit,B,new
18,Material Storage – Unsafe,A,original
19,Mechanical Demolition – Illegal,A,new
20,Landmark Building – Illegal Work,B,original
21,Safety Net/Guard Rail – Damaged/Inadequate/None (over 6-stories/75FT),B,original
22,Safety Netting – None,B,new
23,Sidewalk Shed/Supported Scaffold – Inadequate/Defective/None/No Permit,B,original
24,Sidewalk Shed – None,B,new
25,Warning Signs/Lights – None,B,new
26,Watchman – None,B,new
27,Auto Repair – Illegal,C,new
28,Building – In Danger of Collapse,A,new
29,"Building – Vacant, Open and Unguarded",C,original
30,Building Shaking/Vibrating/Structural Stability Affected,A,original
31,Certificate of Occupancy – None/Illegal/Contrary to CO,C,original
32,C of O – Not Being Complied With,C,new
33,Commercial Use – Illegal,C,new
34,Compactor Room/Refuse Chute – Illegal,C,new
35,Curb Cut/Driveway/Carport – Illegal,D,original
36,Driveway/Carport – Illegal,D,new
37,Egress – Locked/Blocked/Improper/No Secondary Means,A,original
38,Egress: Exit Door Not Proper,B,new
39,Egress: No Secondary Means,A,new
40,Falling – Part of Building,A,new
41,Falling – Part of Building in Danger of,A,new
42,Fence – Illegal,C,new
43,Structural Stability Affected,A,new
44,Fireplace/Wood Stove – Illegal,B,new
45,Illegal Conversion,B,original
46,PA Permit – None,B,new
47,PA Permit – Not Being Complied With,B,new
48,Residential Use – Illegal,C,new
49,Storefront or Business Sign/Awning/Marquee/Canopy – Illegal,C,original
50,Sign Falling: Danger/Sign Erection or Display In-Progress (Illegal),A,original
51,Illegal Social Club,B,new
52,Sprinkler System – Inadequate,B,original
53,Vent/Exhaust – Illegal/Improper,D,original
54,Wall/Retaining Wall – Bulging/Cracked,B,original
55,Zoning: Non-Conforming,D,original
56,Boiler: Fumes/Smoke/Carbon Monoxide,A,original
57,Boiler: Illegal,B,new
58,Boiler: Defective/Inoperative/No Permit,B,original
59,Electrical Wiring: Defective/Exposed – In Progress,B,original
60,Electrical Work: Improper,B,new
61,"Electrical Work: Unlicensed, In-Progress",B,new
62,Elevator: Danger Condition/Shaft Open/Unguarded,A,original
63,Elevator: Defective/Inoperative,B,original
64,Elevator Shaft: Open and Unguarded,A,new
65,Gas Hook-Up/Piping – Illegal or Defective,A,original
66,Plumbing Work – Illegal/No Permit (also Sprinkler/Standpipe),B,original
67,Crane: No Permit/License/Cert/Unsafe/Illegal,A,original
68,Crane/Scaffold: Unsafe/Illegal Operations,A,new
69,Crane/Scaffold: Unsafe Installation/Equipment,A,new
70,Suspension Scaffold Hanging – No Work In-Progress,B,new
71,SRO: Illegal Work/No Permit/Change in Occupancy Use,B,original
72,SRO: Change in Occupancy/Use,B,new
73,Failure to Maintain,C,original
74,Illegal Commercial/Manufacturing Use in Residential Zone,C,original
75,Adult Establishment,B,original
76,Unlicensed/Illegal/Improper Plumbing Work In-Progress,A,original
77,Contrary to LL58/87 (Handicap Access),C,original
78,Privately Owned Public Space/Non-Compliance,B,original
79,Lights from Parking Lot Shining on Building,C,original
80,Elevator Not Inspected/Illegal/No Permit,D,original
81,Elevator: Accident,A,original
82,Boiler: Accident/Explosion,A,original
83,Construction: Contrary/Beyond Approved Plans/Permits,B,original
84,Facade: Defective/Cracking,B,new
85,Failure to Retain Water/Improper Drainage (LL103/89),C,original
86,Work Contrary to Stop Work Order,A,original
87,Request for Deck Safety Inspection,C,new
88,Safety Net/Guard Rail – Damaged/Inadequate/None (6-stories/75FT or Less),B,original
89,Accident – Cranes/Derricks/Suspension,A,original
90,Unlicensed/Illegal Activity,C,original
91,Site Conditions Endangering Workers,A,original
92,Illegal Conversion of Manufacturing/Industrial Space,B,original
93,Request for Retaining Wall Safety Inspection,C,original
94,Plumbing: Defective/Leaking/Not Maintained,C,original
95,Bronx 2nd Offense Pilot Project,C,new
96,"Unlicensed Boiler, Electrical, Plumbing or Sign Work Completed",B,new
97,Other Agency Jurisdiction,D,new
98,Refer to Operations for Determination,D,new
99,Other,D,new
1A,Illegal Conversion Commercial Building/Space to Dwelling Units,B,original
1B,Illegal Tree Removal/Topo. Change in SNAD,B,original
1C,Damage Assessment Request or Report (Disaster),A,new
1D,Con Edison Referral,B,original
1E,Suspended (Hanging) Scaffolds – No Permit/License/Dangerous/Accident,A,original
1F,Failure to Comply with Annual Crane Inspection,B,new
1G,Stalled Construction Site,B,original
1H,Emergency Asbestos Response Inspection,A,new
1J,Jewelry/Dentistry Torch: Gas Piping Removed w/o Permit,B,new
1K,Bowstring Truss Tracking Complaint,D,original
1L,Gas Utility Referral,B,new
1U,Special Operations Compliance Inspection,D,new
